,smiles,ligEfficiency
90,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.9096411764705885
188,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.9053529411764707
144,CCC(O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.9020176470588233
57,CC([NH3+])C1CCC(C(=O)NCCCN(C)C)CC1,2.8984
92,CC([NH3+])C1CCC(C(=O)NCCC(C)(O)O)CC1,2.8974555555555557
159,CC([NH3+])C1CCC(C(=O)NCCC2(C)CC2)CC1,2.896727777777778
197,Cc1cc(CNC(=O)C2CCC(C(C)[NH3+])CC2)ccn1,2.8943149999999997
73,CCC(O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.885664705882353
168,Cc1ccccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.879645
64,CC([NH3+])C1CCC(C(=O)NCCNCCO)CC1,2.8791277777777777
25,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.866235294117647
133,CCC(O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.865729411764706
137,CNC(=O)CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8619166666666667
84,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.859173333333333
115,CC(O)CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8565888888888886
232,CNC(=O)CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8556333333333335
132,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8539266666666667
98,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.850006666666667
104,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.849746666666667
186,CC([NH3+])C1CCC(C(=O)NCCN(C)C)CC1,2.8494705882352944
206,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8465823529411765
129,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8462466666666666
191,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8447933333333335
107,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.838370588235294
157,CC([NH3+])C1CCC(C(=O)NCCCO)CC1,2.8361125
162,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8241333333333336
152,CCCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.82285
3,CCCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8216625
95,CC([NH3+])C1CCC(C(=O)NCCN(C)C)CC1,2.8178823529411767
125,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.817135294117647
176,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8168176470588233
121,CCC(CCO)NC(=O)C1CCC(C(C)[NH3+])CC1,2.8166333333333333
39,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8158588235294117
238,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.8152199999999996
158,CC([NH3+])C1CCC(C(=O)NCCC(C)(O)O)CC1,2.810766666666667
135,CC([NH3+])C1CCC(C(=O)NCCN(C)C=O)CC1,2.8057666666666665
53,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.8015588235294118
29,CC([NH3+])C1CCC(C(=O)NCC2CCCC2)CC1,2.800883333333333
229,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.800547058823529
100,CC([NH3+])C1CCC(C(=O)NCC2CCCC2)CC1,2.7997277777777776
12,CC([NH3+])C1CCC(C(=O)NCC2(C)CC2)CC1,2.795529411764706
131,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.795464705882353
170,CCNNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.7906055555555556
228,CC(CNC(=O)C1CCC(C(C)[NH3+])CC1)C(N)=O,2.7894
147,Cc1ccccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.788105
72,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.7871944444444443
117,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.786927777777778
22,CC([NH3+])C1CCC(C(=O)NCC(=O)NS)CC1,2.7827647058823533
52,CC([NH3+])C1CCC(C(=O)NCCOC=O)CC1,2.781164705882353
233,CC([NH3+])C1CCC(C(=O)NCCN(C)C)CC1,2.7808470588235292
199,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.7785277777777777
24,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.777127777777778
148,CC([NH3+])C1CCC(C(=O)NCCN(C)CN)CC1,2.7746666666666666
182,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.774522222222222
136,CC(=O)NCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.773716666666667
35,CC(C)C(C)NC(=O)C1CCC(C(C)[NH3+])CC1,2.7714529411764706
223,CNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.76835625
130,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.7649529411764706
205,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.7615588235294117
111,CC([NH3+])C1CCC(C(=O)NCCCOC=O)CC1,2.7521722222222222
87,CC([NH3+])C1CCC(C(=O)NC(CO)CCS)CC1,2.74515
134,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.74084
5,CC([NH3+])C1CCC(C(=O)NCC2CCCC2)CC1,2.7402611111111113
151,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.73904
225,CC([NH3+])C1CCC(C(=O)NCCCC[O-])CC1,2.734594117647059
96,CC([NH3+])C1CCC(C(=O)NC2CNCNC2)CC1,2.7308333333333334
214,CC([NH3+])C1CCC(C(=O)NC(=O)CC(=O)O)CC1,2.7291722222222226
23,CC([NH3+])C1CCC(C(=O)NCCCC(=O)O)CC1,2.7162333333333333
33,CC([NH3+])C1CCC(C(=O)NCc2ncc[nH]2)CC1,2.713827777777778
142,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.713555
81,CCN(C)CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.705305555555556
69,C=C(Cl)/C(=C\CCl)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.70064
11,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.69312
149,CC(CNC(=O)C1CCC(C(C)[NH3+])CC1)C(N)=O,2.6887833333333333
207,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.676425
201,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.6747050000000003
209,C=C(O)/C(=C\CCl)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.66912
50,CC([NH3+])C1CCC(C(=O)NCc2cccc(Cl)c2)CC1,2.668925
28,CC([NH3+])C1CCC(C(=O)NCCC(=O)NN)CC1,2.665
124,CC([NH3+])C1CCC(C(=O)NCc2ncn[nH]2)CC1,2.659477777777778
56,Cc1c(CNC(=O)C2CCC(C(C)[NH3+])CC2)coc1O,2.6519749999999997
74,CC([NH3+])C1CCC(C(=O)NCCNC(=O)O)CC1,2.647022222222222
194,CNC(=O)C1CCC(C(C)[NH3+])CC1,2.6459076923076923
89,Cc1ccccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.643485
118,Cc1ccccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.6429300000000002
70,CC([NH3+])C1CCC(C(=O)NCc2cccc(N)c2)CC1,2.641505
45,CNC(=O)C1CCC(C(C)[NH3+])CC1,2.6396153846153845
114,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.6366823529411763
79,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.63463
18,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.6294117647058823
1,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.625970588235294
127,CNC(=O)C1CCC(C(C)[NH3+])CC1,2.6253538461538466
216,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.6251588235294117
32,CNC(=O)C1CCC(C(C)[NH3+])CC1,2.624846153846154
116,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.624341176470588
184,CC([NH3+])C1CCC(C(=O)NCCN)CC1,2.62424
146,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.624115
41,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.6233588235294114
71,CC([NH3+])C1CCC(C(=O)NCCN)CC1,2.6210066666666667
34,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.611735294117647
46,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.6107050000000003
219,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.609482352941176
59,CC([NH3+])C1CCC(C(=O)NCCN)CC1,2.6077466666666664
128,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.60582
48,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.601795
19,CC([NH3+])C1CCC(C(=O)NCCNC(=O)O)CC1,2.6014611111111114
200,CC([NH3+])C1CCC(C(=O)NCc2ncn[nH]2)CC1,2.6011333333333333
235,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.598505882352941
109,CC([NH3+])C1CCC(C(=O)NCc2cccc(N)c2)CC1,2.596495
218,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.596429411764706
93,CC([NH3+])C1CCC(C(=O)NCc2ncn[nH]2)CC1,2.5953833333333334
145,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.592865
26,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.592225
91,CC([NH3+])C1CCC(C(=O)NCC(=O)NO)CC1,2.5912
62,CC([NH3+])C1CCC(C(=O)NCCNC(=O)O)CC1,2.589627777777778
220,Cc1ccccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.589585
224,CC([NH3+])C1CCC(C(=O)NCC(=O)NO)CC1,2.5822352941176474
14,CC([NH3+])C1CCC(C(=O)NCC(=O)NO)CC1,2.58105294117647
173,CC([NH3+])C1CCC(C(=O)NCC(C)(O)O)CC1,2.579741176470588
221,CC([NH3+])C1CCC(C(=O)NC/C(=C/CS)C(Cl)Br)CC1,2.57905
140,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.5778235294117646
110,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.57498
226,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.574415
75,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.572635294117647
102,CC([NH3+])C1CCC(C(=O)NCCNC(=O)O)CC1,2.5631055555555555
193,CC([NH3+])C1CCC(C(=O)NC(=O)NN)CC1,2.55428125
112,CC([NH3+])C1CCC(C(=O)NCC(=N)N(C)C)CC1,2.543877777777778
171,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.5396764705882355
60,CC([NH3+])C1CCC(C(=O)NC(=O)ONN)CC1,2.5394
190,CC([NH3+])C1CCC(C(=O)NCC(=O)NN)CC1,2.5378411764705886
76,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.5370470588235294
204,CC([NH3+])C1CCC(C(=O)NCC(C)(O)O)CC1,2.531394117647059
177,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.5295285714285716
160,CC([NH3+])C1CCC(C(=O)NCCNC=O)CC1,2.5241235294117645
78,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.522814285714286
215,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.508925
187,CC([NH3+])C1CCC(C(=O)NCC(=O)NN)CC1,2.5059529411764707
43,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.505714285714286
101,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.5035142857142856
55,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.5030500000000004
40,CC([NH3+])C1CCC(C(=O)NCC(=N)N)CC1,2.49985
167,CC([NH3+])C1CCC(C(=O)NCc2cc[nH]c(=O)c2)CC1,2.4984200000000003
2,CC([NH3+])C1CCC(C(=O)NCc2ncn[nH]2)CC1,2.497261111111111
138,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.4971
4,CC(NC(=O)C1CCC(C(C)[NH3+])CC1)C(=O)NO,2.4959055555555554
126,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.484535294117647
150,CC([NH3+])C1CCC(C(=O)NCC(=O)NN)CC1,2.483011764705882
179,CC([NH3+])C1CCC(C(=O)NCC(=O)NN)CC1,2.482070588235294
139,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.480407142857143
119,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.479764285714286
97,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.4725214285714285
8,CC([NH3+])C1CCC(C(=O)NCC(=O)NN)CC1,2.467023529411765
86,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.466847058823529
143,CNC(=N)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.4588705882352944
49,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.4520176470588235
208,CC([NH3+])C1CCC(C(=O)NC(=N)C(=O)O)CC1,2.4441411764705885
65,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.43985
175,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.4383500000000002
105,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.4372235294117646
9,CCC(C)(CO)NC(=O)C1CCC(C(C)[NH3+])CC1,2.437205555555556
217,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.4364049999999997
222,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.4314176470588236
141,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.4305928571428574
234,CNC(=O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.429129411764706
47,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.4273142857142855
54,CC([NH3+])C1CCC(C(=O)NCC(N)=O)CC1,2.42631875
16,CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.4100214285714285
166,CC([NH3+])C1CCC(C(=O)NC(=O)C(O)O)CC1,2.3904411764705884
38,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.3895150000000003
67,CNC(=N)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.3814
10,CC([NH3+])C1CCC(C(=O)NC(=O)NN=O)CC1,2.338670588235294
21,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.31978
180,C=C/C(=C/C(=O)O)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.302285
6,CC([NH3+])C1CCC(C(=O)NCc2cccc(O)c2)CC1,2.29861
123,Cc1ccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)cc1,2.284805
108,CC([NH3+])C1CCC(C(=O)NCC(/C=C/N)=C/C=O)CC1,2.096775
